"Energy production, per person (toe)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Brunei,,,,,,,,,,,,0.050764155,0.068144874,0.091657188,0.090638067,0.091113439,0.108229578,0.111130139,0.107179196,0.111098751,0.111655394,0.085580673,0.084349243,0.083070562,0.077021338,0.073332308,0.069414785,0.067042978,0.063558364,0.062341889,0.062040531,0.063086491,0.065669205,0.062590194,0.062470691,0.062983651,0.059457391,0.057584955,0.05433014,0.058133454,0.060190004,0.059375232,0.059326525,0.060775695,0.058293895,0.057997648,0.060264795,0.05495659,0.05491727,0.048334629,
Bulgaria,,,,,,,,,,,,0.00066873,0.000651508,0.000633679,0.000593638,0.000703888,0.000726268,0.000747221,0.00076392,0.000828969,0.000873118,0.000959711,0.001049371,0.001079319,0.001110382,0.001063547,0.00110257,0.001122928,0.001177507,0.001142499,0.00109002,0.0009726,0.001020955,0.00108577,0.00111511,0.001232324,0.001290357,0.00124618,0.001249293,0.001135497,0.001238677,0.001309585,0.001349416,0.001303988,0.001318588,0.001375983,0.001435303,0.001305202,0.001349447,0.00130273,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000259701,0.000258199,0.000257247,0.000256812,0.000256842,0.000257296,0.000257348,0.000258043,0.000258719,0.000259383,0.000260422,0.000261602,0.000262903,0.000261026,0.000262411,
Cameroon,,,,,,,,,,,,0.000349243,0.000346857,0.000344477,0.000343847,0.000343182,0.000341638,0.000345092,0.000399669,0.000569329,0.000736268,0.00086024,0.00093734,0.000943759,0.00121301,0.001186787,0.001146877,0.001127278,0.001045791,0.000978613,0.000901049,0.000856143,0.000841261,0.000789452,0.00076883,0.00070274,0.000718861,0.000745571,0.000751311,0.000717275,0.000710835,0.000666803,0.000672055,0.000649269,0.000629636,0.000598598,0.000571634,0.000503859,0.000495882,0.000461465,
Canada,0.003187751,0.003514032,0.003979851,0.00415767,0.004416516,0.004559373,0.004823135,0.005075941,0.005410369,0.005881009,0.006665886,0.007068051,0.007913391,0.008765114,0.008387118,0.00810423,0.007778001,0.008014758,0.007968768,0.008665054,0.008460447,0.008102266,0.008102662,0.008199888,0.008955668,0.009334841,0.009154593,0.009515984,0.010124052,0.010025827,0.009881188,0.010166933,0.010365605,0.01100563,0.011667076,0.011905401,0.012113609,0.012230119,0.012133986,0.011994743,0.012153191,0.012173424,0.012277782,0.012217657,0.01245504,0.012423363,0.012589181,0.012625424,0.012184057,0.011575486,0.011634758
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,0.000547921,0.0005447,0.000503285,0.000496764,0.00047841,0.000490258,0.000491839,0.00048892,0.000455141,0.000518899,0.000547513,0.000551231,0.000553727,0.000566924,0.000562254,0.000569712,0.000565101,0.00056928,0.000574498,0.000566461,0.000587578,0.000597846,0.000558268,0.000554317,0.000544508,0.00053819,0.000532953,0.000508668,0.000492222,0.000526342,0.000551634,0.000545084,0.000507255,0.000501045,0.000544299,0.000556029,0.000510937,0.000539192,0.000548419,0.000558371
China,,,,,,,,,,,,0.000471227,0.000483447,0.000491131,0.000497007,0.000543296,0.000549903,0.00058868,0.00063095,0.000637557,0.000626007,0.000614367,0.000631143,0.000652918,0.00068931,0.000703671,0.000710552,0.000719437,0.000735907,0.000760942,0.000773922,0.000770992,0.000776072,0.000791202,0.000825958,0.000878245,0.000893906,0.000884937,0.000868834,0.000842938,0.000838368,0.000855948,0.000910788,0.001018476,0.001148211,0.001241143,0.001314682,0.001380643,0.001497995,0.001561859,
Colombia,,,,,,,,,,,,0.000886036,0.000811393,0.000750531,0.000720497,0.000712478,0.000681013,0.000665466,0.000681343,0.00067064,0.000658863,0.000671229,0.000697787,0.000716919,0.000774612,0.000831248,0.001072962,0.001264849,0.001258722,0.001353236,0.001451035,0.001375041,0.001404266,0.001404264,0.001432033,0.001648742,0.00177033,0.001789264,0.0019143,0.001956404,0.001843205,0.001805075,0.001681295,0.001779795,0.001797405,0.001846533,0.00193581,0.00197515,0.002079636,0.002171766,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,0.000284561,0.000284368,0.000285137,0.000282739,0.000284644,0.000335481,0.000329627,0.000317983,0.000321772,0.000317618,0.000321835,0.000324472,0.000329154,0.000340875,0.000343321,0.000341361,0.000338443,0.000334476,0.000332907,0.00033013,0.000322971,0.000315858,0.000308699,0.000307449,0.000310852,0.000312498,0.000309848,0.000309285,0.000310775,0.000352819,0.000356684,0.000356183,0.000358914,0.000362705,0.000361545,0.000362281,0.000363159,0.000362711,0.000363627,
"Congo, Rep.",,,,,,,,,,,,0.000243087,0.000473539,0.00166702,0.00189503,0.001426212,0.001567162,0.00136326,0.0016944,0.001849305,0.002123457,0.002482377,0.002692632,0.002988075,0.003233825,0.003082185,0.003060684,0.00315235,0.003398814,0.003726765,0.003661172,0.003579166,0.003725436,0.003986232,0.003688328,0.003677867,0.003985933,0.004311316,0.004593595,0.004777697,0.004650735,0.00423094,0.00399214,0.003586069,0.003640154,0.003861022,0.004232002,0.003354099,0.003452944,0.00387567,
Costa Rica,,,,,,,,,,,,0.000355544,0.000356794,0.000350783,0.000346078,0.000341481,0.000341861,0.000321428,0.000323566,0.000323067,0.000327309,0.000325436,0.000318799,0.000326461,0.000379331,0.000372693,0.000356988,0.000356049,0.000345871,0.000332161,0.000336081,0.000335482,0.000395998,0.000294841,0.000287986,0.000277169,0.000279531,0.000282029,0.00025465,0.000289151,0.000326445,0.000316495,0.000346348,0.000346994,0.000493086,0.000536188,0.000574088,0.00061899,0.000590473,0.000589853,
Cote d'Ivoire,,,,,,,,,,,,0.000289841,0.000288284,0.000284489,0.000282718,0.00028061,0.000277036,0.000272565,0.000269023,0.000272216,0.000284543,0.000320402,0.000355549,0.000371654,0.000358614,0.000362185,0.000350418,0.0003319,0.000307019,0.000273129,0.000270216,0.000267037,0.000282945,0.000284306,0.00028415,0.000289401,0.000341851,0.000351201,0.000340919,0.000370914,0.000362595,0.000353596,0.000379989,0.000388482,0.000538384,0.000589778,0.000651645,0.000616749,0.000601209,0.000614505,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00113661,0.001055983,0.000944948,0.000982022,0.000875004,0.000895532,0.000911402,0.000890311,0.000876792,0.000792597,0.000795501,0.000837208,0.00083071,0.000840878,0.000871119,0.000856499,0.000936457,0.000917526,0.000895156,0.000921746,
Cuba,,,,,,,,,,,,0.000603714,0.000558088,0.000578187,0.000590828,0.000591095,0.000587877,0.0006298,0.000680545,0.000700964,0.000664716,0.000665276,0.000720788,0.000732455,0.000747302,0.000737286,0.000764788,0.000769553,0.000780104,0.000827391,0.000892615,0.000783824,0.000780777,0.000606871,0.000618518,0.000567474,0.000609464,0.000594113,0.000549795,0.000624015,0.000712495,0.000732754,0.000734855,0.00071569,0.000665859,0.000558585,0.000530653,0.000515516,0.000505826,0.000494117,
Cyprus,,,,,,,,,,,,1.46895E-05,1.45222E-05,1.43595E-05,6.39226E-06,9.62737E-06,1.20544E-05,1.19097E-05,1.21283E-05,1.23594E-05,9.12751E-06,8.73104E-06,8.69915E-06,8.32534E-06,9.48004E-06,9.56871E-06,9.45261E-06,8.97801E-06,8.17074E-06,8.01225E-06,8.00482E-06,7.07364E-06,6.85894E-06,6.67881E-06,1.39763E-05,4.9607E-05,4.94127E-05,4.67276E-05,4.73097E-05,4.71667E-05,4.69101E-05,4.62453E-05,4.56457E-05,4.81839E-05,4.92968E-05,4.9414E-05,4.91743E-05,6.87894E-05,7.69489E-05,7.75984E-05,
Czech Rep.,,,,,,,,,,,,0.004068229,0.004024694,0.003890894,0.003931147,0.004051685,0.004134044,0.004280557,0.004128242,0.004229889,0.004015685,0.004018374,0.00406451,0.004122578,0.004185561,0.004142039,0.004232825,0.004339264,0.004279024,0.004118995,0.003970604,0.003743192,0.003515085,0.003464192,0.00322417,0.003140981,0.003208992,0.003249538,0.003063387,0.002803424,0.002992558,0.00306667,0.00308038,0.003284728,0.003385521,0.00322073,0.003271495,0.003272564,0.003162561,0.002988454,0.002996056
Denmark,0.000217261,0.000202115,0.000197709,0.00019292,0.000170545,0.000164893,0.000154262,0.000111462,6.75582E-05,3.81442E-05,7.66362E-05,6.63873E-05,8.70417E-05,8.49855E-05,8.87974E-05,0.000104027,0.000117385,0.000179098,0.000171693,0.000189945,0.000185897,0.000304935,0.000503054,0.000605392,0.000690893,0.000973593,0.001272509,0.001593955,0.001621926,0.001858033,0.001960951,0.002311867,0.002497802,0.002675818,0.002896158,0.002978636,0.003361656,0.003835881,0.003847029,0.004470215,0.005194295,0.005066696,0.005322724,0.005287667,0.00576015,0.0057763,0.005428996,0.004951883,0.004842909,0.004328239,0.00418127
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Rep.,,,,,,,,,,,,0.000261415,0.000261501,0.000246868,0.00024802,0.000244105,0.000252779,0.000242143,0.000245142,0.000246972,0.000229003,0.000262395,0.000285494,0.000283322,0.000302977,0.000208505,0.000208508,0.000208669,0.000170254,0.000143358,0.000143303,0.00014217,0.000179388,0.000189683,0.000187029,0.000181766,0.000180491,0.000178719,0.000165757,0.000176231,0.000165383,0.000171592,0.000170729,0.000171252,0.000176614,0.000202576,0.000200853,0.000199516,0.000194718,0.000193086,
